Economic Sector,Status,Zipcode,Company,Job Title,Origin Country,Pay
Finance,Accepted,10013,TOWER RESEARCH CAPITAL LLC,Financial Managers,INDIA,none
Finance,Accepted,10022,ART CAPITAL GROUP INC.,General and Operations Managers,AUSTRALIA,none
Finance,Accepted,10282,GOLDMAN SACHS & CO.,Software Developers; Applications,INDIA,none
Retail,Accepted,10021,CORA GINSBURG LLC,Operations Research Analysts,BRAZIL,none
Other Economic Sector,Accepted,10002,MAPOS LLC,Architectural and Engineering Managers,HONG KONG,none
Other Economic Sector,Accepted,10022,MCKINSEY & COMPANY; INC UNITED STATES,Management Analysts,MEXICO,none
Other Economic Sector,Accepted,11360,PENCOM SYSTEMS INCORPORATED,Software Developers; Applications,INDIA,none
Other Economic Sector,Accepted,10119,ASIA TV USA,Marketing Managers,INDIA,none
Transportation,Accepted,10018,MEDITERRANEAN SHIPPING COMPANY (USA) INC.,Transportation; Storage; and Distribution Managers,HONDURAS,none
Educational Services,Accepted,10014,KAPLAN; INC.,Software Developers; Applications,PHILIPPINES,none
Finance,Accepted,10003,IRIDIUM CONSULTING LLC,Computer Systems Analysts,INDIA,none
IT,Accepted,10003,ANIMOTO LLC,Computer and Information Systems Managers,INDIA,none
Finance,Accepted,10166,BARCLAYS SERVICES CORP,Software Developers; Applications,INDIA,none
Finance,Accepted,10018,MARKIT,Financial Analysts,CHINA,none
IT,Accepted,10122,LUXOFT USA INC.,Software Developers; Applications,UKRAINE,none
Finance,Accepted,10005,DEUTSCHE BANK SECURITIES; INC.,Financial Analysts,INDIA,none
Finance,Accepted,10285,AMERICAN EXPRESS TRAVEL RELATED SERVICES,Computer Systems Analysts,INDIA,none
Finance,Accepted,10018,MARKIT,Computer Systems Analysts,UNITED KINGDOM,none
Finance,Accepted,10005,DEUTSCHE BANK,Software Developers; Applications,CHINA,none
IT,Accepted,10011,MEDIAOCEAN LLC,Software Developers; Applications,INDIA,none
Hospitality,Accepted,10018,SEAMLESS NORTH AMERICA; LLC,Computer and Information Research Scientists,INDIA,none
Finance,Accepted,10018,THE NEW YORK TIMES COMPANY,Software Developers; Applications,INDIA,none
Retail,Accepted,10017,BARNEYS; INC,General and Operations Managers,CANADA,none
Retail,Accepted,10016,S DESIGNS; LLC,Market Research Analysts and Marketing Specialists*,SOUTH KOREA,none
Other Economic Sector,Accepted,10019,CLIFFORD CHANCE US LLP,Lawyers,IRELAND,none
Other Economic Sector,Accepted,10036,SKADDEN; ARPS; SLATE; MEAGHER & FLOM LLP,Lawyers,SWEDEN,none
Other Economic Sector,Accepted,10007,SCAPE LANDSCAPE ARCHITECTURE PLLC,Landscape Architects,TAIWAN,none
Other Economic Sector,Accepted,10002,GRAND STREET SETTLEMENT; INC,Social and Community Service Managers,TAIWAN,none
IT,Accepted,10003,OPENCROWD; INC.,Software Developers; Applications,INDIA,none
Finance,Accepted,10178,MORIARTY CAPITAL CORP,Financial Managers,IRELAND,none
Finance,Accepted,10005,DEUTSCHE BANK SECURITIES; INC.,Financial Managers,MEXICO,none
Finance,Accepted,10005,QBE AMERICAS; INC.,Software Developers; Applications,INDIA,none
Hospitality,Accepted,10024,1996-07-01,Cooks; Restaurant,MEXICO,none
Not Available,Accepted,11377,PROFESSIONAL PLACEMENT & RECRUITMENT INC.,Accountants and Auditors,PHILIPPINES,none
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Economists,NEPAL,none
Finance,Accepted,10020,THE BANK OF TOKYO-MITSUBISHI UFJ; LTD.,Computer Systems Analysts,INDIA,none
Other Economic Sector,Accepted,10036,VIACOM INTERNATIONAL; INC. (D/B/A VIACOM MEDIA NET,Software Developers; Systems Software,INDIA,none
IT,Accepted,11101,GANNAWAY WEB HOLDINGS LLC D/B/A WORLDNOW,Computer and Information Research Scientists,INDIA,none
Advanced Mfg,Accepted,10018,FASHION OPTIONS INC.,Financial Managers,BELGIUM,none
Finance,Accepted,10169,ING NORTH AMERICA INSURANCE CORPORATION,Accountants and Auditors,MEXICO,none
Other Economic Sector,Accepted,11358,ADS & Y INC.,Architectural and Civil Drafters,SERBIA AND MONTENEGRO,none
Other Economic Sector,Accepted,10022,MCKINSEY & COMPANY; INC UNITED STATES,Computer and Information Systems Managers,FRANCE,none
Other Economic Sector,Accepted,11434,TJNS IMPORTS INC.,Marketing Managers,PAKISTAN,none
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Software Developers; Applications,INDIA,none
Other Economic Sector,Accepted,10001,ORLY SHOE CORPORATION,Operations Research Analysts,PHILIPPINES,none
Finance,Accepted,10010,CREDIT SUISSE SECURITIES (USA) LLC,Computer Systems Analysts,INDIA,none
Health Care,Accepted,11203,NEW YORK CITY HEALTH & HOSPITAL CORPORATION,Psychiatrists,EGYPT,none
Other Economic Sector,Accepted,10011,BARNES&NOBLE.COM,Software Developers; Systems Software,INDIA,none
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Information Security Analysts; Web Developers; and Computer Network Architects,INDIA,none
Not Available,Denied,10302,GREATER NORTHEASTERN DOOR MANFACTORING CORP.,Not Available,MEXICO,none
Finance,Accepted,10285,AMERICAN EXPRESS COMPANY,Credit Analysts,INDIA,none
Advanced Mfg,Accepted,10003,J. CREW,Software Developers; Applications,INDIA,none
Finance,Accepted,10166,BARCLAYS SERVICES CORP,Software Developers; Applications,INDIA,none
Finance,Accepted,10022,J. GOLDMAN & CO.; L.P.,Financial Analysts,INDIA,none
Advanced Mfg,Accepted,10022,SONY CORPORATION OF AMERICA,Network and Computer Systems Administrators*,PANAMA,none
Other Economic Sector,Accepted,10016,HMS,Network and Computer Systems Administrators*,INDIA,none
Construction,Accepted,10122,MUESER RUTLEDGE CONSULTING ENGINEERS,Civil Engineers,INDIA,none
IT,Accepted,10005,INCANDESCENT TECHNOLOGIES; INC.,Software Developers; Applications,INDIA,none
Construction,Accepted,11229,IMPROCOM INC,Electronics Engineers; Except Computer,UKRAINE,none
Other Economic Sector,Accepted,10016,SAAVN LLC,Software Developers; Applications,INDIA,none
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Computer Systems Analysts,MEXICO,none
IT,Accepted,10005,INCANDESCENT TECHNOLOGIES; INC.,Software Developers; Applications,INDIA,none
IT,Accepted,10019,CBS CORPORATE SERVICES INC,Software Developers; Applications,INDIA,none
Other Economic Sector,Accepted,10012,ZOCDOC,Software Developers; Applications,INDIA,none
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Computer Systems Analysts,INDIA,none
IT,Accepted,10017,T&M CONSULTING CORP.,Marketing Managers,LITHUANIA,none
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Software Developers; Applications,IRAN,none
IT,Accepted,10017,CORVIL INC.,Financial Managers,CANADA,none
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Computer Systems Analysts,INDIA,none
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Computer Systems Analysts,UNITED KINGDOM,none
Other Economic Sector,Accepted,10022,MCKINSEY & COMPANY; INC UNITED STATES,Management Analysts,INDIA,none
Finance,Accepted,10005,DEUTSCHE BANK SECURITIES; INC.,Financial Analysts,UNITED KINGDOM,none
IT,Accepted,10105,WALL STREET SYSTEMS DELAWARE; INC,Computer Systems Analysts,FRANCE,none
Health Care,Accepted,10017,MEMORIAL SLOAN-KETTERING CANCER CENTER,Software Developers; Applications; Non R & D (ACWIA Only),MONGOLIA,none
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Software Developers; Applications,CHINA,none
Educational Services,Accepted,11201,NEW YORK CITY DEPARTMENT OF EDUCATION,Special Education Teachers; Secondary School,POLAND,none
IT,Accepted,10038,ARISTON TEK; INC,Computer Systems Analysts,INDIA,none
Finance,Accepted,10005,DEUTSCHE BANK,Computer and Information Systems Managers,POLAND,none
Other Economic Sector,Accepted,10036,DISCO INTERNATIONAL; INC.,Educational; Guidance; School; and Vocational Counselors,JAPAN,none
Other Economic Sector,Accepted,10036,JYACC; INC. D/B/A PROLIFICS,Software Developers; Applications,INDIA,none
Finance,Accepted,10022,CITIGROUP GLOBAL MARKETS INC.,Credit Analysts,TANZANIA,none
Other Economic Sector,Accepted,10011,KARIM RASHID INC,Interior Designers,INDONESIA,none
IT,Accepted,10038,ARISTON TEK; INC,Computer Programmers,INDIA,none
Other Economic Sector,Accepted,11372,NEW YORK CHO DAE CHURCH,Clergy,SOUTH KOREA,none
Finance,Accepted,10022,CRISIL IREVNA US LLC,Actuaries,MEXICO,none
Construction,Accepted,10016,RCDOLNER LLC,Architectural and Engineering Managers,LEBANON,none
Not Available,Accepted,10065,DBMC LLC,Cooks; Private Household,PHILIPPINES,none
IT,Accepted,10014,GOLDCREST FACILITIES,Computer and Information Systems Managers,SINGAPORE,none
Other Economic Sector,Accepted,10011,KCD INC.,Public Relations Specialists,BRAZIL,none
Finance,Accepted,10286,THE BANK OF NEW YORK MELLON,Computer and Information Systems Managers,INDIA,none
Finance,Accepted,10005,DEUTSCHE BANK SECURITIES; INC.,Financial Analysts,ARGENTINA,none
Finance,Accepted,10010,CREDIT SUISSE SECURITIES (USA) LLC,Financial Analysts,INDIA,none
Finance,Accepted,10020,E*TRADE FINANCIAL CORPORATION,Software Developers; Applications,INDIA,none
Finance,Accepted,10020,E*TRADE FINANCIAL CORPORATION,Software Developers; Applications,INDIA,none
Finance,Accepted,10022,CERBERUS CAPITAL MANAGEMENT LP,Software Developers; Applications,CHINA,none
Retail,Accepted,10022,CHICISSIMO LLC,Software Developers; Applications,NEPAL,none
Other Economic Sector,Accepted,11217,NYC SMALL BUSINESS SOLUTIONS; INC.,Financial Managers,GRENADA,none
Finance,Accepted,10166,BARCLAYS BANK PLC,Economists,JAPAN,none
IT,Accepted,11375,AMICUS SYSTEMS; INC,Software Developers; Applications,INDIA,none
IT,Accepted,11375,AMICUS SYSTEMS; INC,Software Developers; Applications,INDIA,none
Other Economic Sector,Accepted,10022,MCKINSEY & COMPANY; INC UNITED STATES,Management Analysts,CHINA,none
Other Economic Sector,Accepted,10022,MCKINSEY & COMPANY; INC UNITED STATES,Management Analysts,INDIA,none
Finance,Accepted,10169,ING NORTH AMERICA INSURANCE CORPORATION,Computer Systems Analysts,INDIA,none
IT,Accepted,11375,AMICUS SYSTEMS; INC,Software Developers; Applications,INDIA,none
IT,Accepted,11375,AMICUS SYSTEMS; INC,Software Developers; Applications,INDIA,none
Other Economic Sector,Accepted,10036,SIMPLEX DIAM INC.,Jewelers and Precious Stone and Metal Workers,INDIA,none
Other Economic Sector,Accepted,10022,MCKINSEY & COMPANY; INC UNITED STATES,Management Analysts,CHINA,none
Other Economic Sector,Accepted,10016,PROJECT RISK ANALYTICS; LLC,Cost Estimators,ITALY,none
Educational Services,Accepted,10013,PROFESSIONAL BUSINESS COLLEGE,Credit Counselors,TAIWAN,none
IT,Accepted,10019,MUREX NORTH AMERICA INC.,Network and Computer Systems Administrators*,FRANCE,none
Other Economic Sector,Accepted,10018,LOCAL PROJECTS LLC,Set and Exhibit Designers,TAIWAN,none
IT,Accepted,10001,TECHNOFINA SERVICES; INC.,Software Developers; Applications,INDIA,none
Other Economic Sector,Accepted,10022,MCKINSEY & COMPANY; INC UNITED STATES,Management Analysts,TURKEY,none
Other Economic Sector,Accepted,10022,MCKINSEY & COMPANY; INC UNITED STATES,Management Analysts,COLOMBIA,none
IT,Accepted,10001,OPENWAVE COMPUTING LLC,Software Developers; Applications,INDIA,none
Other Economic Sector,Accepted,10022,MCKINSEY & COMPANY; INC UNITED STATES,Management Analysts,ISRAEL,none
Other Economic Sector,Accepted,10022,MCKINSEY & COMPANY; INC UNITED STATES,Management Analysts,COLOMBIA,none
Finance,Accepted,10281,RBC CAPITAL MARKETS; LLC,Computer Systems Analysts,INDIA,none
Finance,Accepted,10036,MORGAN STANLEY & CO. LLC,Computer and Information Systems Managers,INDIA,none
Retail,Accepted,10011,TORY BURCH,Merchandise Displayers and Window Trimmers,ITALY,none
Other Economic Sector,Accepted,10022,MCKINSEY & COMPANY; INC UNITED STATES,Management Analysts,MEXICO,none
Not Available,Accepted,10011,OUTBRAIN,General and Operations Managers,ISRAEL,none
Health Care,Accepted,10029,MOUNT SINAI MEDICAL CENTER,Computer and Information Systems Managers,AUSTRALIA,none
IT,Accepted,10018,ACTIVEHEALTH MANAGEMENT,Information Security Analysts; Web Developers; and Computer Network Architects,INDIA,none
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Accountants and Auditors,JAPAN,none
IT,Accepted,10007,VERIZON COMMUNICATIONS INC.; & ALL ITS SUBSIDIARIES & AFFILIATES,Electronics Engineers; Except Computer,INDIA,none
Health Care,Accepted,10019,ST. LUKES-ROOSEVELT HOSPITAL CENTER,Clinical; Counseling; and School Psychologists,INDIA,none
Other Economic Sector,Accepted,10036,VIACOM INTERNATIONAL; INC. (D/B/A VIACOM MEDIA NET,Software Developers; Applications,INDIA,none
IT,Accepted,10165,ISI-DENTSU OF AMERICA; INC.,Market Research Analysts and Marketing Specialists*,JAPAN,none
Finance,Accepted,10016,AFTRA HEALTH FUND,Computer Systems Analysts,INDIA,none
Retail,Accepted,11367,HANRA FISH & PRODUCE CORP,Software Developers; Applications,SOUTH KOREA,none
IT,Accepted,10003,AVERO; LLC,Software Developers; Applications,NEPAL,none
Finance,Accepted,10013,TOWER RESEARCH CAPITAL LLC,Computer and Information Systems Managers,ISRAEL,none
Finance,Accepted,10105,ALLIANCEBERNSTEIN L.P.,Financial Analysts,CHINA,none
IT,Accepted,11375,AMICUS SYSTEMS; INC,Software Developers; Applications,INDIA,none
Finance,Accepted,10005,DEUTSCHE BANK,Credit Analysts,BRAZIL,none
Finance,Accepted,10005,QBE AMERICAS; INC.,Software Developers; Applications,INDIA,none
Finance,Accepted,10036,MERCER (US) INC.,Human Resources Managers,SINGAPORE,none
Finance,Accepted,10007,MSCI INC.,Software Developers; Applications,MALAYSIA,none
Other Economic Sector,Accepted,10016,SMARTLING; INC,Software Developers; Applications,RUSSIA,none
Other Economic Sector,Accepted,10001,PROFESSIONAL MEDICAL & LEGAL MANAGEMENT GROUP; IN,Budget Analysts,CHINA,none
Finance,Accepted,10013,TOWER RESEARCH CAPITAL LLC,Computer and Information Systems Managers,INDIA,none
IT,Accepted,10019,ARVATO SYSTEMS NA;INC.,Computer Systems Analysts,INDIA,none
Finance,Accepted,10285,AMERICAN EXPRESS TRAVEL RELATED SERVICES,Information Security Analysts; Web Developers; and Computer Network Architects,INDIA,none
IT,Accepted,10019,NOMURA AMERICA SERVICES; LLC,Software Developers; Applications,INDIA,none
Other Economic Sector,Accepted,10036,VIACOM INTERNATIONAL; INC. (D/B/A VIACOM MEDIA NET,Producers and Directors,CANADA,none
Finance,Accepted,10013,TOWER RESEARCH CAPITAL LLC,Software Developers; Applications,CHINA,none
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Financial Analysts,CHINA,none
Other Economic Sector,Accepted,11354,CENTURY HOMES REALTY GROUP LLC.,Management Analysts,ISRAEL,none
IT,Accepted,10012,INFUSION DEV LLC,Software Developers; Systems Software,INDIA,none
IT,Accepted,10012,INFUSION DEV LLC,Computer Systems Analysts,NEPAL,none
Finance,Accepted,10019,MACQUARIE HOLDINGS (USA) INC.,Lawyers,UNITED KINGDOM,none
Finance,Accepted,10022,CITIBANK; N.A,Lawyers,MEXICO,none
Health Care,Accepted,10029,PHYSICIAN AFFILIATE GROUP OF NEW YORK,Physicians and Surgeons; All Other,INDIA,none
Finance,Accepted,10022,FORE RESEARCH & MANAGEMENT; LP,Software Developers; Applications,CHINA,none
Transportation,Accepted,10018,MEDITERRANEAN SHIPPING COMPANY (USA) INC.,Transportation; Storage; and Distribution Managers,POLAND,none
Advanced Mfg,Accepted,10018,QUEEN APPAREL NY INC.,First-Line Supervisors of Production and Operating Workers,SOUTH KOREA,none
Transportation,Accepted,10018,MEDITERRANEAN SHIPPING COMPANY (USA) INC.,Transportation; Storage; and Distribution Managers,ITALY,none
Other Economic Sector,Accepted,10119,SHIBOLETH LLP,Lawyers,ISRAEL,none
Finance,Accepted,10036,METLIFE GROUP; INC.,Financial Analysts,CHINA,none
Advanced Mfg,Accepted,11101,CLADDAGH ELECTRONICS LTD.,Electrical Engineers,ROMANIA,none
IT,Accepted,10065,ITHAKA HARBORS; INC.,Archivists,INDIA,none
IT,Accepted,10105,WALL STREET SYSTEMS DELAWARE; INC,Computer Systems Analysts,CANADA,none
Health Care,Accepted,10021,ZHANG MEDICAL PC,Medical Scientists; Except Epidemiologists,CHINA,none
IT,Accepted,10105,WALL STREET SYSTEMS DELAWARE; INC,Computer Systems Analysts,FRANCE,none
Other Economic Sector,Accepted,10001,Q4 DESIGNS; LLC.,Fashion Designers,SOUTH KOREA,none
Transportation,Accepted,10018,MEDITERRANEAN SHIPPING COMPANY (USA) INC.,Transportation; Storage; and Distribution Managers,ITALY,none
IT,Accepted,10105,LAB49; INC.,Software Developers; Applications,CANADA,none
Not Available,Denied,10005,EBUSINESSWARE; INC.,Not Available,INDIA,none
Not Available,Denied,10021,MAURICE DEANE,Not Available,PHILIPPINES,none
Not Available,Denied,10016,CHARLES KOMAR & SONS; INC.,Not Available,TURKEY,none
Not Available,Denied,10025,BROADWAY 104 LLC DBA CAFE DU SOLEIL,Not Available,ECUADOR,none
Not Available,Denied,10013,TWO BACALHAUSINC DBA PAO RESTAURANT,Not Available,ECUADOR,none
Not Available,Denied,10016,MPHASIS CORPORATION,Not Available,INDIA,none
Not Available,Denied,11201,NEW YORK CITY DEPARTMENT OF EDUCATION,Not Available,CANADA,none
Not Available,Denied,11428,PRESTIGE CATERERS INC.,Not Available,COLOMBIA,none
Not Available,Denied,10013,THE ORIGINAL VINCENTS,Not Available,MEXICO,none
Not Available,Denied,11232,BASONAS CONSTRUCTION CORP.,Not Available,ECUADOR,none
Not Available,Denied,10016,MADISON BISTRO,Not Available,IVORY COAST,none
Not Available,Denied,11356,TEKTON CONTRACTING CORP.,Not Available,CYPRUS,none
Not Available,Denied,10016,MPHASIS CORPORATION,Not Available,INDIA,none
Not Available,Denied,10021,DR. MEREDITH KATO,Not Available,GRENADA,none
Not Available,Denied,11378,RADHASWAMY; INC. D/B/A RAJA FOODS,Not Available,INDIA,none
Finance,Denied,10004,GOLDMAN; SACHS & CO.,Operations Research Analysts,CHINA,none
Not Available,Denied,10018,JONES JEANSWEAR GROUP; INC,Not Available,INDIA,none
Not Available,Denied,10013,CANAL MUSIC AUDIO; INC.,Not Available,ISRAEL,none
Hospitality,Denied,10022,THE GREY LAKE; INC. DBA METRO 53,Cooks; Restaurant,ECUADOR,none
Not Available,Denied,11385,AUTO GLEN COLLISION,Not Available,ECUADOR,none
Not Available,Denied,10306,BASSO LANDSCAPING; INC,Not Available,ECUADOR,none
Not Available,Denied,10282,GOLDMAN SACHS & CO.,Not Available,INDIA,none
Not Available,Denied,11232,BROOKLYN CULTURAL CENTER OF NEW YORK INC,Not Available,EGYPT,none
Not Available,Denied,10019,319 W 51ST STREET RESTAURANT INC,Not Available,GUATEMALA,none
Construction,Denied,11356,MARBLE TECHNIQUES; INC.,Helpers--Brickmasons; Blockmasons; Stonemasons; and Tile and Marble Setters,ECUADOR,none
Not Available,Denied,10001,BLAU; BROWN & LEONARD; LLC,Not Available,TAIWAN,none
Not Available,Denied,11207,PILGRIM BAPTIST CHURCH,Not Available,ECUADOR,none
Not Available,Denied,10282,GOLDMAN;SACHS & CO.,Not Available,CHINA,none
Not Available,Denied,10016,US JAPAN PUBLICATION NY INC,Not Available,JAPAN,none
Not Available,Denied,10011,TORY BURCH; LLC,Not Available,ITALY,none
Not Available,Denied,10282,GOLDMAN; SACHS & CO.,Not Available,INDIA,none
Not Available,Denied,10013,ISTYLE MEDIA,Not Available,UNITED KINGDOM,none
Not Available,Denied,10017,YS PUBLISHIG CO.; INC.,Not Available,JAPAN,none
Hospitality,Denied,10003,MAYS KU E BA INC.,Bookkeeping; Accounting; and Auditing Clerks,SOUTH KOREA,none
Not Available,Denied,10022,QS INVESTORS HOLDINGS; LLC,Not Available,UNITED KINGDOM,none
Not Available,Denied,10016,HMS,Not Available,INDIA,none
Not Available,Denied,11222,AUCAPINA CABINETS; INC.,Not Available,ECUADOR,none
Not Available,Denied,11232,SIMON LIU INC.,Not Available,JAPAN,none
Not Available,Denied,11229,ALL CITY FAMILY HEALTH CARE CENTER; INC.,Not Available,EGYPT,none
Not Available,Denied,10011,MEDIAMIND TECHNOLOGIES,Not Available,CHINA,none
Not Available,Denied,11201,NEW YORK CITY DEPARTMENT OF EDUCATION,Not Available,PHILIPPINES,none
Not Available,Denied,11201,NEW YORK CITY DEPARTMENT OF EDUCATION,Not Available,PHILIPPINES,none
Not Available,Denied,10003,IRIDIUM CONSULTING LLC,Not Available,UNITED KINGDOM,none
Not Available,Denied,11201,NEW YORK CITY DEPARTMENT OF EDUCATION,Not Available,PHILIPPINES,none
Not Available,Denied,11201,NEW YORK CITY DEPARTMENT OF EDUCATION,Not Available,CANADA,none
Not Available,Denied,11201,NEW YORK CITY DEPARTMENT OF EDUCATION,Not Available,ISRAEL,none
Not Available,Denied,11201,NEW YORK CITY DEPARTMENT OF EDUCATION,Not Available,JAPAN,none
Not Available,Denied,11201,NEW YORK CITY DEPARTMENT OF EDUCATION,Not Available,SRI LANKA,none
Not Available,Denied,11201,NEW YORK CITY DEPARTMENT OF EDUCATION,Not Available,JAMAICA,none
Not Available,Denied,11201,NEW YORK CITY DEPARTMENT OF EDUCATION,Not Available,PHILIPPINES,none
Not Available,Denied,11201,NEW YORK CITY DEPARTMENT OF EDUCATION,Not Available,PHILIPPINES,none
Not Available,Denied,10003,MEDIDATA SOLUTIONS,Not Available,INDIA,none
Not Available,Denied,10013,RDA INTERNATIONAL INC,Not Available,NEW ZEALAND,none
Not Available,Denied,11201,NEW YORK CITY DEPARTMENT OF EDUCATION,Not Available,PHILIPPINES,none
Construction,Denied,10014,TURNER CONSTRUCTION COMPANY,Construction Managers,IRELAND,none
IT,Denied,10016,MPHASIS CORPORATION,Computer Software Engineers; Applications,INDIA,none
Not Available,Denied,10282,GOLDMAN; SACHS & CO.,Not Available,GEORGIA,none
Not Available,Denied,10282,GOLDMAN; SACHS & CO.,Not Available,INDIA,none
Construction,Denied,11357,NEXTCOM CONSTRUCTION; INC.,Civil Engineers,SOUTH KOREA,none
IT,Denied,10016,MPHASIS CORPORATION,Computer Programmers,INDIA,none
Not Available,Denied,10309,MIRACLE TECHNOLOGIES INC.,Not Available,PAKISTAN,none
Hospitality,Denied,10016,THE DINEX GROUP,Food Service Managers,FRANCE,none
Not Available,Denied,11101,CITADEL FOODS INC.;,Not Available,ITALY,none
IT,Denied,10016,MPHASIS CORPORATION,Computer Programmers,INDIA,none
IT,Denied,10016,MPHASIS CORPORATION,Computer Software Engineers; Applications,INDIA,none
IT,Denied,10016,MPHASIS CORPORATION,Computer Software Engineers; Applications,INDIA,none
Health Care,Denied,11354,ACCESS DENTAL GROUP PLLC,Graphic Designers,MALAYSIA,none
Not Available,Denied,11201,NEW YORK CITY DEPARTMENT OF EDUCATION,Not Available,BARBADOS,none
Not Available,Denied,11201,NEW YORK CITY DEPARTMENT OF EDUCATION,Not Available,PHILIPPINES,none
Other Economic Sector,Denied,10014,S.R. GAMBREL; INC.,Interior Designers,CANADA,none
Other Economic Sector,Denied,10001,ERMANI GROUP INC.,Market Research Analysts,RUSSIA,none
IT,Denied,10016,MPHASIS CORPORATION,Sales Managers,INDIA,none
Not Available,Denied,10018,KIDZ CONCEPTS; LLC,Not Available,SOUTH KOREA,none
Other Economic Sector,Denied,11357,NY KOREAN PENTECOSTAL HOLINESS CHURCH,Audio and Video Equipment Technicians,SOUTH KOREA,none
IT,Denied,10016,MPHASIS CORPORATION,Computer Software Engineers; Applications,INDIA,none
IT,Denied,10016,MPHASIS CORPORATION,Computer Software Engineers; Applications,INDIA,none
Not Available,Denied,10003,CHIMERA SECURITIES; LLC,Not Available,NEPAL,none
Construction,Denied,11378,BEST INTERIORS MANAGEMENT COMPANY; INC.,Stonemasons,POLAND,none
Not Available,Denied,10018,SPANISH TAVERNA RESTAURANT INC.,Not Available,MEXICO,none
Not Available,Denied,11101,ALLIEDMEDIX RESOURCES INC,Not Available,PHILIPPINES,none
Not Available,Denied,10018,NEX WORLDWIDE EXPRESS INC.,Not Available,TURKEY,none
IT,Denied,10016,MPHASIS CORPORATION,Computer Software Engineers; Applications,INDIA,none
Advanced Mfg,Denied,10019,COMPONENTS BY JOHN MCCOY; INC.,Market Research Analysts,CANADA,none
Not Available,Denied,11375,V-SOLVE; INC.,Not Available,INDIA,none
Hospitality,Denied,10003,VESELKA ENTERPRISES; LTD,Food Service Managers,POLAND,none
Other Economic Sector,Denied,10024,JEFFREY LEFCOURT,Maids and Housekeeping Cleaners,MEXICO,none
Hospitality,Denied,10306,LA ROCCAS ITALIAN ICES & PIZZERIA,Cooks; Restaurant,MEXICO,none
Automotive,Denied,11354,35 AUTO REPAIR AND BODY SHOP; CORP.,Automotive Service Technicians and Mechanics,SOUTH KOREA,none
Finance,Denied,10019,FRIEDMAN LLP,Accountants and Auditors,CHINA,none
Construction,Denied,11354,BEST CONCRETE MIX CORPORATION,Cement Masons and Concrete Finishers,ECUADOR,none
Hospitality,Denied,11209,CITI YOUNG CORP.,Customer Service Representatives,MEXICO,none
Not Available,Denied,10019,MACQUARIE HOLDINGS (USA) INC.,Not Available,AUSTRALIA,none
Not Available,Denied,10282,GOLDMAN SACHS & CO.,Not Available,SOUTH KOREA,none
Not Available,Denied,10282,GOLDMAN; SACHS & CO.,Not Available,CHINA,none
IT,Denied,10016,MPHASIS CORPORATION,Computer Software Engineers; Applications,INDIA,none
Not Available,Denied,10017,KYLIN MANAGEMENT LLC,Not Available,JAPAN,none
IT,Denied,10016,MPHASIS CORPORATION,Computer Software Engineers; Applications,INDIA,none
IT,Denied,10016,MPHASIS CORPORATION,Computer Software Engineers; Applications,INDIA,none
IT,Denied,10016,MPHASIS CORPORATION,Computer Software Engineers; Applications,INDIA,none
Other Economic Sector,Denied,11356,CESARE FRUIT COMPANY INC. DBA CESARE FRUIT MARKET INC.,First-Line Supervisors/Managers of Helpers; Laborers; and Material Movers; Hand,MEXICO,none
Not Available,Denied,10022,CENTERLINE CAPITAL GROUP,Not Available,INDIA,none
Not Available,Denied,10016,SOLOMON PAGE GROUP LLC,Not Available,INDIA,none
Not Available,Denied,10010,CREDIT SUISSE SECURITIES (USA) LLC,Not Available,INDIA,none
Not Available,Denied,10013,DANIEL J. EDELMAN; INC.,Not Available,SOUTH AFRICA,none
Other Economic Sector,Denied,10304,BASSO LANDSCAPING INC.,Landscaping and Groundskeeping Workers,MEXICO,none
Not Available,Denied,10282,GOLDMAN; SACHS & CO.,Not Available,CANADA,none
Not Available,Denied,10022,MCKINSEY & COMPANY; INC UNITED STATES,Not Available,MEXICO,none
Construction,Denied,11368,R.A.M.S. MECHANICAL INC.,Mechanical Engineers,PAKISTAN,none
Not Available,Denied,10005,DEUTSCHE BANK SECURITIES; INC.,Not Available,BRAZIL,none
Not Available,Denied,10004,AMTEX SYSTEMS; INC.,Not Available,INDIA,none
Not Available,Denied,10001,THERACARE OF NEW YORK; INC.,Not Available,PHILIPPINES,none
Not Available,Denied,10285,AMERICAN EXPRESS TRAVEL RELATED SERVICES,Not Available,SPAIN,none
IT,Denied,10001,MAJESCOMASTEK,Computer and Information Systems Managers,INDIA,none
IT,Denied,10001,TECHNOFINA SERVICES; INC.,Database Administrators,INDIA,none
Not Available,Denied,10036,MORGAN STANLEY & CO. LLC,Not Available,INDIA,none
Not Available,Denied,11237,DZH IMP. & EXP. INC.,Not Available,CHINA,none
